################################################################################
# Data 1                          Data_0_00034.dat
# Data 2                          Data_0_00040.dat
# Transmission                    1.398564624794896
# Weight                          1.0
# Smart_subtraction               True
# EDF_DataBlockID                 0.Image.Psd
# EDF_BinarySize                  4366944
# EDF_HeaderSize                  3072
# ByteOrder                       LowByteFirst
# DataType                        FloatValue
# Dim_1                           1028
# Dim_2                           1062
# Image                           0
# HeaderID                        EH:000000:000000:000000
# Size                            4366944
# Center_1                        629.9744
# Center_2                        651.0223
# Comment                         C2 - ESAXS_600s_365_mins
# DDummy                          0.6
# Date                            2025-04-02T01:04:31
# Delta                           0
# Dummy                           -1.5
# ExposureTime                    600
# Force                           -0.009793
# Gamma                           0
# Intensity1                      5.94941e-11
# JawsDistance                    0.000239
# JawsVelocity                    0
# PSize_1                         7.5e-05
# PSize_2                         7.5e-05
# SampleDistance                  1.8
# SampleEnvKind                   gisaxs
# SampleEnvPN                     Liquid Well
# SampleEnvSN                     665
# Strain                          3.41833e-05
# Stress                          -0.0163212
# Thickness                       0
# WaveLength                      1.541889e-10
# Wavelength                      1.54189e-10
# anaB                            0.000116274
# anaB_dial                       0.0123639
# anaPark                         2.4575
# anaPark_dial                    -2.4575
# anaXi                           -5.60284e-09
# anaXi_dial                      0
# anaZ                            8.96045e-08
# anaZ_dial                       2.98331
# b2c                             0
# b2c_dial                        0
# bioZ                            -3.00038
# bioZ_dial                       -1.34441
# det0x                           0
# det0x_dial                      7.79661
# det0xvd                         0
# det0xvd_dial                    0
# det0y                           1800
# det0y_dial                      -863.827
# det0z                           0
# det0z_dial                      5.50516
# det0zvd                         0
# det0zvd_dial                    0
# distana                         93.4
# distana_dial                    93.4
# dual                            -8.24014e-06
# dual_dial                       198.086
# mono1B                          2.86102e-09
# mono1B_dial                     -0.222
# mono2B                          -1.81198e-08
# mono2B_dial                     -1.844
# mono2X                          0.079375
# mono2X_dial                     0.0909375
# mono2Xi                         -0.18
# mono2Xi_dial                    -0.18
# monoZ                           -11
# monoZ_dial                      -0.249943
# om                              0.18
# om_dial                         0.12
# phi                             0.0140624
# phi_dial                        -0.00200892
# pm5                             0
# pm5_dial                        0
# qana                            0
# qana_dial                       0
# ry                              0
# ry_dial                         0.00149858
# s1bot                           0.35
# s1bot_dial                      -0.305781
# s1hl                            0.75
# s1hl_dial                       0.26875
# s1hr                            -0.25
# s1hr_dial                       -0.376875
# s1top                           0.15
# s1top_dial                      1.05344
# s2bot                           0.125
# s2bot_dial                      0.809688
# s2hl                            0.325
# s2hl_dial                       0.0759375
# s2hr                            -0.075
# s2hr_dial                       0.078125
# s2top                           0.125
# s2top_dial                      0.569063
# ttdeg                           0
# ttdeg_dial                      0
# wind                            67.9917
# wind_dial                       67.9917
# x                               -40
# x_dial                          -21.2694
# z                               3.00007
# z_dial                          3.73936
# CountCutoff                     1530246
# DetectorModel                   Dectris EIGER2 Si 1M, S/N E-02-0291
# ThresholdSetting                4023.88989258
# FlatField                       Corrected
# BackgroundReductionExtra        0.031
# Detector                        0
# Monitor                         0
# Pil_Roi0                        0
# SumForIntensity1                3.56965e+07
# det                             0
# mon                             0
# pilai0                          3.56965e+07
# pilai1                          0
# pilct0                          3.56996e+07
# pilct1                          0
# pilroi0                         3.56996e+07
# pilroi1                         0
# sec                             0.099
# title                           Data_0_00034.edf
# usaxs0                          283.104
# Origin                          subtracted
# Thickness_correction            False
################################################################################
 q(A-1)                   I_subtracted(a.u.)         Sigma_I(a.u.)            
       0.000934                62429.3197                1406.92816           
       0.001104                101026.004                988.145902           
       0.001273                57174.0954                639.549139           
       0.001443                49449.6247                445.471932           
       0.001613                29528.8727                275.880386           
       0.001783                14254.4317                172.125369           
       0.001953                 6940.6258                108.724743           
       0.002122                3771.58854                63.1029697           
       0.002292                1709.07746                45.0427341           
       0.002462                939.015933                27.2955635           
       0.002632                615.428201                19.6187405           
       0.002802                400.709648                14.2066552           
       0.002971                319.395283                10.1040458           
       0.003141                243.143795                7.81656045           
       0.003311                201.607235                5.63184339           
       0.003481                159.818117                 5.0290356           
       0.003651                138.148389                4.36224284           
       0.003820                 120.56538                3.94512709           
       0.003990                103.778691                3.59379717           
       0.004160                82.9078551                2.96909646           
       0.004330                78.4227146                2.95959001           
       0.004499                70.2103197                2.69315907           
       0.004669                69.7852084                 2.6238904           
       0.004839                63.1276966                2.47229221           
       0.005009                 57.016988                2.28703305           
       0.005179                54.7164952                2.25944675           
       0.005348                52.8958691                2.08565868           
       0.005518                48.1449789                1.94681865           
       0.005688                44.7294362                 1.9253673           
       0.005858                47.2258325                1.93363452           
       0.006028                41.3128375                1.80478005           
       0.006197                41.2057543                1.67497672           
       0.006367                40.0536372                 1.6732032           
       0.006537                39.1129758                1.62802398           
       0.006707                41.7055301                1.69840613           
       0.006877                 35.826346                1.51564361           
       0.007046                 40.847871                1.58352188           
       0.007216                 38.905262                1.58525818           
       0.007386                39.3358952                1.51232062           
       0.007556                40.3633559                1.53386744           
       0.007726                37.1063908                1.43129063           
       0.007895                41.4252036                1.55078173           
       0.008065                 40.497237                1.53640684           
       0.008235                39.8610261                1.42971295           
       0.008405                40.8873043                1.46656505           
       0.008574                38.7618199                1.40118225           
       0.008744                41.7248492                 1.4715865           
       0.008914                 43.230252                1.49053106           
       0.009084                42.3318803                1.37256921           
       0.009254                43.7596824                1.48047579           
       0.009423                47.4956172                1.47041402           
       0.009593                50.0888502                1.52084312           
       0.009763                52.8461887                1.54221383           
       0.009933                50.9046165                1.47966547           
       0.010103                52.0975274                1.55078005           
       0.010272                57.8739453                1.55805418           
       0.010442                58.8924389                1.56043369           
       0.010612                61.3653056                1.56542963           
       0.010782                62.9684204                1.59562903           
       0.010952                70.4776907                  1.740938           
       0.011121                70.2953397                1.63400884           
       0.011291                73.6199545                1.69669054           
       0.011461                77.4021697                1.71878208           
       0.011631                79.1262736                1.71719591           
       0.011800                 83.888504                1.78958271           
       0.011970                86.8044002                1.73209353           
       0.012140                89.6969955                1.82005273           
       0.012310                87.6165165                 1.7663816           
       0.012480                93.4559592                1.81854618           
       0.012649                96.1497862                1.80508169           
       0.012819                96.2252529                1.80265398           
       0.012989                94.2303191                1.80990501           
       0.013159                93.9474194                1.76576257           
       0.013329                93.9713949                 1.7422013           
       0.013498                92.3105676                1.71683128           
       0.013668                87.1342452                1.66877854           
       0.013838                86.2986779                1.68084297           
       0.014008                82.9294844                1.58289485           
       0.014178                74.9644558                1.53260246           
       0.014347                72.5392883                1.47814126           
       0.014517                67.4444402                   1.43645           
       0.014687                61.9815712                1.35175197           
       0.014857                58.3195648                1.29129005           
       0.015027                53.5167179                1.26353806           
       0.015196                47.4857236                1.16895942           
       0.015366                45.3020242                1.14690077           
       0.015536                40.1823375                1.04960552           
       0.015706                38.3169695                1.03156402           
       0.015875                35.6944321                1.00414539           
       0.016045                31.8597022               0.926284412           
       0.016215                 27.932937               0.866186208           
       0.016385                27.6165014               0.855696955           
