timestep	potential_energy
0	587697.375
5000	-559474
10000	-901387.125
15000	-994065.75
20000	-1045043.562
25000	-1081630.375
30000	-1107041.625
35000	-1123502.5
40000	-1141916.5
45000	-1160761.375
50000	-1171678.125
55000	-1184263.5
60000	-1196913.375
65000	-1204351.75
70000	-1214715.25
75000	-1224103.375
80000	-1229911.25
85000	-1233599.375
90000	-1237309
95000	-1243171.25
100000	-1247249.125
105000	-1252187.5
110000	-1257469.125
115000	-1263005.5
120000	-1264391.25
125000	-1266688.75
130000	-1270610.25
135000	-1273230.625
140000	-1273711.5
145000	-1274311.875
150000	-1277374.625
155000	-1280061.125
160000	-1282051.75
165000	-1287909.5
170000	-1292323.5
175000	-1294015.125
180000	-1296751.875
185000	-1298898.75
190000	-1299622.25
195000	-1302169.375
200000	-1303899
205000	-1305062.75
210000	-1307292
215000	-1308604.75
220000	-1310565
225000	-1311838
230000	-1312269.75
235000	-1313852.75
240000	-1315666
245000	-1317408.5
250000	-1317508.375
255000	-1318934
260000	-1320613.5
265000	-1321878.625
270000	-1323361.5
275000	-1323389.25
280000	-1325552.375
285000	-1326324.25
290000	-1327396.75
295000	-1328700.25
300000	-1329923.5
305000	-1330760.5
310000	-1331733
315000	-1331802
320000	-1332100.75
325000	-1332143.5
330000	-1332705.5
335000	-1332855.75
340000	-1333423.5
345000	-1333460.25
350000	-1333755
355000	-1333993.25
360000	-1333876.75
365000	-1334034.75
370000	-1334085.375
375000	-1335125.75
380000	-1336212.75
385000	-1337854.875
390000	-1338407.5
395000	-1339895.625
400000	-1340232.125
405000	-1340434.5
410000	-1340829.25
415000	-1343775.75
420000	-1345460.5
425000	-1346329
430000	-1347641
435000	-1351261.625
440000	-1354023.5
445000	-1354942.25
450000	-1356458
455000	-1356994.125
460000	-1357614
465000	-1360422.125
470000	-1360763.5
475000	-1361567.75
480000	-1361985.75
485000	-1362934
490000	-1363100.25
495000	-1365702.125
500000	-1368077.25
505000	-1368486
510000	-1371362.25
515000	-1374100.875
520000	-1375750.375
525000	-1377928.5
530000	-1378242
535000	-1378381.5
540000	-1378076
545000	-1378563
550000	-1379295.5
555000	-1379892.75
560000	-1380381
565000	-1380473
570000	-1380427.25
575000	-1383713.75
580000	-1385173.5
585000	-1387082.625
590000	-1388295.125
595000	-1388971
600000	-1389032.5
605000	-1389162.5
610000	-1389312.25
615000	-1389953.75
620000	-1390102.75
625000	-1391369.5
630000	-1392128
635000	-1393291.75
640000	-1394002.75
645000	-1394083.75
650000	-1394208.5
655000	-1394083
660000	-1394137.75
665000	-1394357.125
670000	-1395518.375
675000	-1396978
680000	-1397495
685000	-1397668.125
690000	-1397641.5
695000	-1397621.375
700000	-1400542.375
705000	-1401193.75
710000	-1401267.25
715000	-1401198
720000	-1401241.5
725000	-1401137.75
730000	-1401448.875
735000	-1402939.375
740000	-1403175.75
745000	-1403264.25
750000	-1403173
755000	-1403237.25
760000	-1404378.875
765000	-1404319.125
770000	-1404475.375
775000	-1405063.75
780000	-1405213.375
785000	-1405692
790000	-1405954.625
795000	-1405819.375
800000	-1405775.75
805000	-1405976.875
810000	-1405924.75
815000	-1405866.5
820000	-1405887
825000	-1405864
830000	-1405890.5
835000	-1405805.625
840000	-1405915.25
845000	-1406087.25
850000	-1406479.625
855000	-1406372
860000	-1406353.5
865000	-1406417.25
870000	-1406565.5
875000	-1406853.25
880000	-1406770.75
885000	-1407291.5
890000	-1408281
895000	-1409133.125
900000	-1409424.5
905000	-1409568.75
910000	-1409861.75
915000	-1410052.875
920000	-1410110.875
925000	-1410110.375
930000	-1410128
935000	-1411223.625
940000	-1412073
945000	-1412380
950000	-1412796.875
955000	-1413869.75
960000	-1414635
965000	-1415570.875
970000	-1415470.75
975000	-1416430
980000	-1416524
985000	-1416604.75
990000	-1416688.625
995000	-1416501.5
1000000	-1416610.625
1005000	-1416491.375
1010000	-1416486.75
1015000	-1416502.5
1020000	-1416506.5
1025000	-1416444
1030000	-1416478.25
1035000	-1416641
1040000	-1416464.25
1045000	-1416559.375
1050000	-1416495.75
1055000	-1417948.625
1060000	-1418125
1065000	-1418161.75
1070000	-1418070.125
1075000	-1418000
1080000	-1418234.375
1085000	-1418265.75
1090000	-1418102.375
1095000	-1418441.375
1100000	-1418302.5
1105000	-1418169
1110000	-1418308.25
1115000	-1418379.375
1120000	-1418156.5
1125000	-1418209.75
1130000	-1418396.5
1135000	-1418399.25
1140000	-1418381.25
1145000	-1418090
1150000	-1418212.75
1155000	-1418402.125
1160000	-1418319.75
1165000	-1418343.75
1170000	-1418177.75
1175000	-1418186.25
1180000	-1418314
1185000	-1418257
1190000	-1418370.125
1195000	-1418222.75
1200000	-1418118.25
1205000	-1418227
1210000	-1418220.875
1215000	-1418161.625
1220000	-1418293
1225000	-1418188.25
