timestep	potential_energy
0	-4.944928169
5000	-5.712937355
10000	-5.72092104
15000	-6.964570045
20000	-6.28523016
25000	-7.357905865
30000	-6.474708557
35000	-6.993853569
40000	-6.204411507
45000	-5.878390789
50000	-7.406630993
55000	-6.007825375
60000	-6.47500515
65000	-5.33481884
70000	-5.248710632
75000	-6.970621109
80000	-5.931761742
85000	-5.776960373
90000	-5.896215439
95000	-5.503960133
100000	-6.266504288
105000	-5.92500639
110000	-5.909281731
115000	-5.531930923
120000	-5.140646935
125000	-6.400868416
130000	-5.606914997
135000	-6.459280014
140000	-6.390224934
145000	-6.107201576
150000	-5.80821991
155000	-6.680333614
160000	-6.784183979
165000	-7.23388195
170000	-7.342060089
175000	-6.005856991
180000	-6.981167316
185000	-5.553072929
190000	-6.584442139
195000	-7.54372263
200000	-6.465471268
205000	-5.831365585
210000	-6.492751598
215000	-6.414896011
220000	-6.294810772
225000	-7.237929344
230000	-4.946687698
235000	-5.453034401
240000	-5.622914314
245000	-6.483703136
250000	-5.12037611
255000	-5.627558708
260000	-7.254784584
265000	-6.046336651
270000	-6.256486893
275000	-6.198488235
280000	-5.483036041
285000	-6.290495872
290000	-6.758078098
295000	-6.276814461
300000	-7.329060555
305000	-6.579092026
310000	-6.219367027
315000	-5.830829144
320000	-7.33933115
325000	-6.206311703
330000	-6.656831741
335000	-5.049071312
340000	-6.282906532
345000	-6.046278
350000	-6.172787666
355000	-4.420997143
360000	-4.947471142
365000	-5.322220802
370000	-5.521533966
375000	-5.150699139
380000	-6.017738342
385000	-5.427260399
390000	-6.644188881
395000	-6.023426056
400000	-5.431538582
405000	-6.210357666
410000	-5.521244049
415000	-5.651041031
420000	-6.504699707
425000	-6.692448616
430000	-6.485199928
435000	-5.708115578
440000	-6.477056503
445000	-7.925268173
450000	-5.451307774
455000	-6.292218208
460000	-7.16146183
465000	-6.028705597
470000	-6.567753792
475000	-6.69159317
480000	-5.193662167
485000	-6.203962326
490000	-5.156189919
495000	-6.009371758
500000	-6.776648521
505000	-6.418412209
510000	-6.271083832
515000	-5.625001907
520000	-6.768639565
525000	-5.518050194
530000	-5.544936657
535000	-5.703719139
540000	-5.51928997
545000	-4.979518414
550000	-6.189338684
555000	-6.304926872
560000	-5.228020668
565000	-5.127705574
570000	-6.755074024
575000	-5.816735268
580000	-5.237177849
585000	-6.006537437
590000	-5.886227608
595000	-6.696080208
600000	-6.368967056
605000	-5.634357929
610000	-5.814862251
615000	-6.468825817
620000	-6.605844498
625000	-6.22352314
630000	-6.271985054
635000	-6.761514664
640000	-6.468519211
645000	-4.873368263
650000	-5.45936203
655000	-6.363547325
660000	-6.373300552
665000	-8.214818001
670000	-6.478945255
675000	-5.24855423
680000	-6.188646317
685000	-6.463623047
690000	-6.116537094
695000	-6.571322441
700000	-4.609545708
705000	-6.282296181
710000	-4.685090542
715000	-4.751408577
720000	-5.696023464
725000	-6.122725487
730000	-4.772183895
735000	-4.478006363
740000	-6.134181023
745000	-5.716252804
750000	-5.649163723
755000	-5.353319168
760000	-6.64030838
765000	-5.442392349
770000	-6.217522144
775000	-5.625329971
780000	-6.002169609
785000	-6.088670731
790000	-4.671256065
795000	-4.486830711
800000	-5.937718868
805000	-5.357855797
810000	-4.958159447
815000	-5.440746307
820000	-5.234364986
825000	-6.371413231
830000	-7.184480667
835000	-7.906826973
840000	-7.320569992
845000	-6.005215645
850000	-5.044531822
855000	-6.183492661
860000	-5.720770836
865000	-5.343632698
870000	-6.389802933
875000	-5.940577507
880000	-6.253963947
885000	-6.659234524
890000	-5.363855362
895000	-6.766386032
900000	-6.195741653
905000	-5.712215424
910000	-5.745475769
915000	-5.408006191
920000	-5.902896881
925000	-5.337932587
930000	-6.602280617
935000	-6.114602566
940000	-6.953565598
945000	-6.095271111
950000	-6.61572361
955000	-5.682072639
960000	-7.251383781
965000	-7.821721554
970000	-7.204469681
975000	-6.744286537
980000	-5.528999329
985000	-5.062990665
990000	-4.876219749
995000	-6.093398094
1000000	-5.70925808
1005000	-5.726230621
1010000	-5.445013046
1015000	-4.486402512
1020000	-6.507293701
1025000	-7.652663231
1030000	-5.702321053
1035000	-5.169995785
1040000	-5.597241402
1045000	-5.615538597
1050000	-4.942452908
1055000	-6.554039955
1060000	-5.05381918
1065000	-5.914608002
1070000	-6.63939476
1075000	-7.617588997
1080000	-6.644260406
1085000	-6.45187664
1090000	-6.115321159
1095000	-6.871658325
1100000	-5.233115196
1105000	-4.864062786
1110000	-4.405676842
1115000	-5.240632057
1120000	-6.763531685
1125000	-5.437339306
1130000	-5.41592741
1135000	-6.777997017
1140000	-5.81370163
1145000	-6.261075974
1150000	-6.359513283
1155000	-6.430364609
1160000	-6.000558853
1165000	-6.677237511
1170000	-4.963248253
1175000	-6.301968098
1180000	-5.439846039
1185000	-6.667194366
1190000	-6.016801834
1195000	-6.415332794
1200000	-5.788369656
1205000	-6.858513832
1210000	-6.130271912
1215000	-4.474014759
1220000	-5.471047878
1225000	-6.70963192
1230000	-5.891028881
1235000	-6.425552368
1240000	-7.355351925
1245000	-5.157858849
1250000	-4.860450745
1255000	-5.427555561
1260000	-5.153675556
1265000	-5.429821014
1270000	-5.510289669
1275000	-6.093431473
1280000	-6.582052708
1285000	-6.300736427
1290000	-5.708463669
1295000	-4.95615387
1300000	-5.529269218
1305000	-5.547005653
1310000	-5.923765659
1315000	-6.91767168
1320000	-6.306620598
1325000	-5.621841431
1330000	-6.605137825
1335000	-5.801927567
1340000	-6.375220299
1345000	-5.827906609
1350000	-5.638101578
1355000	-5.902266502
1360000	-4.949390411
1365000	-4.478868484
1370000	-7.080639839
1375000	-6.102739334
1380000	-5.507399082
1385000	-5.999256134
1390000	-6.865974426
1395000	-7.446239471
1400000	-7.325803757
1405000	-7.051582336
1410000	-5.701781273
1415000	-5.065572739
1420000	-5.615875721
1425000	-6.139160156
1430000	-7.274847984
1435000	-6.746060371
1440000	-7.640036106
1445000	-5.826683044
1450000	-6.935868263
1455000	-6.510865688
1460000	-5.363749504
1465000	-5.444738388
1470000	-6.462278366
1475000	-5.69131279
1480000	-5.807575226
1485000	-6.310770035
1490000	-6.211215019
1495000	-6.695030212
1500000	-6.220411301
1505000	-7.345840931
1510000	-7.340960979
1515000	-6.116028309
1520000	-5.239818573
1525000	-5.239426613
1530000	-6.027265549
1535000	-5.823038101
1540000	-5.161580086
1545000	-5.520767689
1550000	-6.291591644
1555000	-5.563830376
1560000	-6.117699623
1565000	-4.862866879
1570000	-4.858739853
1575000	-5.342708111
1580000	-5.178414822
1585000	-6.587900162
1590000	-5.634205818
1595000	-5.731842518
1600000	-6.40824604
1605000	-6.949684143
1610000	-7.559771061
1615000	-6.475059986
1620000	-5.136304855
1625000	-5.736939907
1630000	-5.245463371
1635000	-4.548899174
1640000	-6.283932686
1645000	-5.54813385
1650000	-6.495501041
1655000	-7.632292747
1660000	-5.341860771
1665000	-6.191065788
1670000	-8.57383728
1675000	-6.652814865
1680000	-6.600123405
1685000	-5.988004684
1690000	-5.449911594
1695000	-6.686596394
1700000	-5.717285156
1705000	-5.330243587
1710000	-4.781888008
1715000	-5.152733803
1720000	-6.095834255
1725000	-5.996242523
1730000	-5.332957745
1735000	-5.711679935
1740000	-7.255913734
1745000	-6.978505135
1750000	-7.055411339
1755000	-6.967153549
1760000	-6.474985123
1765000	-6.10262394
1770000	-7.631756783
1775000	-5.423005104
1780000	-6.193793297
1785000	-7.258411407
1790000	-6.364411354
1795000	-5.251718521
1800000	-6.280075073
1805000	-6.97198391
1810000	-7.360385895
1815000	-5.738262177
1820000	-6.394533157
1825000	-5.358147621
1830000	-5.720206261
1835000	-5.274809837
1840000	-5.918549538
1845000	-6.678869247
1850000	-5.844272614
1855000	-6.490837097
1860000	-5.913746834
1865000	-5.548530102
1870000	-4.777167797
1875000	-5.428711891
1880000	-6.510430336
1885000	-5.725475788
1890000	-5.417243004
1895000	-4.949005127
1900000	-4.782979012
1905000	-5.913266182
1910000	-5.095350742
1915000	-6.275404453
1920000	-5.642982006
1925000	-7.447845459
1930000	-5.616856575
1935000	-7.0166502
1940000	-7.06896925
1945000	-6.199682713
1950000	-7.892615795
1955000	-5.895850182
1960000	-7.210106373
1965000	-6.573768139
1970000	-5.705337524
1975000	-5.141923428
1980000	-6.481796741
1985000	-5.985153675
1990000	-7.39329958
1995000	-6.894033909
2000000	-4.839463234
2005000	-6.767757416
2010000	-7.236242294
2015000	-6.562160015
2020000	-6.189162254
2025000	-5.437441826
2030000	-5.553881645
2035000	-6.017573357
2040000	-6.577434063
2045000	-4.763812065
2050000	-7.61715126
2055000	-6.492069244
2060000	-5.431696892
2065000	-6.270897388
2070000	-4.769891739
2075000	-5.993908882
2080000	-5.742472172
2085000	-5.436526299
2090000	-5.273685455
2095000	-5.790264606
2100000	-5.145722389
2105000	-5.42706871
2110000	-7.347097397
2115000	-5.652153969
2120000	-5.328952789
2125000	-6.457844734
2130000	-7.637229919
2135000	-5.627091408
2140000	-6.564634323
2145000	-6.772232056
2150000	-5.783573151
2155000	-6.304839134
2160000	-6.214493275
2165000	-8.197149277
2170000	-7.160627842
2175000	-5.221076488
2180000	-6.774764061
2185000	-5.430272102
2190000	-6.469757557
2195000	-7.066022873
2200000	-7.448913574
2205000	-5.4148283
2210000	-5.619290829
2215000	-5.527934074
2220000	-6.484638691
2225000	-5.4213624
2230000	-7.512607098
2235000	-5.826703548
2240000	-5.874545097
2245000	-5.614766121
2250000	-6.111519337
2255000	-6.60283041
2260000	-6.486940384
2265000	-5.826153755
2270000	-6.916022301
2275000	-6.414022446
2280000	-5.441529274
2285000	-5.899040222
2290000	-5.712696075
2295000	-5.623679638
2300000	-5.913393974
2305000	-6.165392399
2310000	-6.409575939
2315000	-5.631981373
2320000	-5.461652279
2325000	-6.8788414
2330000	-7.04928112
2335000	-5.170388222
2340000	-4.458823204
2345000	-6.759121418
2350000	-5.53129673
2355000	-6.080114841
2360000	-4.762218952
2365000	-5.4217062
2370000	-5.986232758
2375000	-6.397796631
2380000	-6.298653126
2385000	-6.287416935
2390000	-6.013398647
2395000	-4.58447504
2400000	-5.704603672
2405000	-5.828445911
2410000	-7.212553978
2415000	-5.046904564
2420000	-6.300785065
2425000	-6.717886925
2430000	-5.514079571
2435000	-6.566174984
2440000	-5.134952068
2445000	-5.436772346
2450000	-5.532116413
2455000	-5.992746353
2460000	-5.995752335
2465000	-5.825247765
2470000	-6.217956066
2475000	-7.624572754
2480000	-5.449800014
2485000	-7.066712379
2490000	-7.345890999
2495000	-5.603573799
2500000	-4.681860447
2505000	-5.037993431
2510000	-5.047046661
2515000	-6.004683495
2520000	-6.573649406
2525000	-4.469367027
2530000	-6.08173418
2535000	-5.821595192
2540000	-6.397064686
2545000	-5.821427822
2550000	-7.149947166
2555000	-6.65914917
2560000	-6.55886364
2565000	-6.858372688
2570000	-5.968523026
2575000	-7.265985489
2580000	-5.885172844
2585000	-6.518511772
2590000	-5.947385788
2595000	-7.184285164
2600000	-6.00238657
2605000	-7.112299919
2610000	-6.591813087
2615000	-7.071019173
2620000	-6.677424431
2625000	-6.298551559
2630000	-6.690348625
2635000	-5.884908676
2640000	-6.86426115
2645000	-7.163076401
2650000	-5.837081909
2655000	-5.520915031
2660000	-6.196238041
2665000	-6.688323498
2670000	-5.193973541
2675000	-5.717270374
2680000	-6.408090591
2685000	-6.578052521
2690000	-6.034021378
2695000	-5.603287697
2700000	-5.901428223
2705000	-6.028999329
2710000	-5.226493835
2715000	-6.179767609
2720000	-7.271399021
2725000	-6.601316452
2730000	-6.586697102
2735000	-6.391340256
2740000	-5.027449608
2745000	-5.726387978
2750000	-4.573634148
2755000	-4.564369678
2760000	-5.131652832
2765000	-4.981155872
2770000	-4.203216076
2775000	-4.987940788
2780000	-6.647896767
2785000	-5.453441143
2790000	-5.999258041
2795000	-5.90299511
2800000	-7.077555656
2805000	-6.2977314
2810000	-6.776755333
2815000	-7.072228909
2820000	-5.050993919
2825000	-5.121861458
2830000	-6.869721889
2835000	-6.305307865
2840000	-5.25720787
2845000	-6.380842209
2850000	-4.793066025
2855000	-4.776784897
2860000	-5.13760376
2865000	-5.085162163
2870000	-5.628190041
2875000	-6.581488609
2880000	-6.738461971
2885000	-6.00386858
2890000	-4.70304966
2895000	-7.051429749
2900000	-5.332518578
2905000	-4.788496971
2910000	-5.907557487
2915000	-6.942375183
2920000	-8.028164864
2925000	-7.262225151
2930000	-6.664179802
2935000	-7.300985336
2940000	-7.633517742
