timestep	potential_energy
0	63834.10547
5000	-178019.75
10000	-333914.4375
15000	-443225.2188
20000	-515422.6875
25000	-569263.8125
30000	-616824.25
35000	-653487
40000	-686527.625
45000	-709934.5
50000	-730343.25
55000	-746833.125
60000	-766669.6875
65000	-782597
70000	-796220.125
75000	-813484.125
80000	-824448.5
85000	-833856.875
90000	-844394.875
95000	-854939.375
100000	-865991.625
105000	-876329.5
110000	-883462.4375
115000	-890667.75
120000	-898854.125
125000	-908952.3125
130000	-919465.5
135000	-925678.625
140000	-931077.75
145000	-937369.8125
150000	-943159.5
155000	-945334.125
160000	-950454.25
165000	-954189.75
170000	-958289.125
175000	-963589.875
180000	-968889.75
185000	-973793.625
190000	-977939.1875
195000	-980962.375
200000	-984849.25
205000	-986871.375
210000	-989261.625
215000	-991861.5625
220000	-993123.875
225000	-996097.625
230000	-1000562.5
235000	-1002111.25
240000	-1002817.25
245000	-1006943.625
250000	-1010046
255000	-1010935.625
260000	-1012904.5
265000	-1015389.375
270000	-1015887.75
275000	-1019271.062
280000	-1022677.938
285000	-1023903.625
290000	-1025013
295000	-1028028.938
300000	-1029352.625
305000	-1030951.25
310000	-1032425.062
315000	-1033793.875
320000	-1035388
325000	-1035508.125
330000	-1038097.375
335000	-1042247.938
340000	-1044358.75
345000	-1045846.375
350000	-1047687.5
355000	-1048744
360000	-1052493.625
365000	-1053618.375
370000	-1054222.375
375000	-1054994.875
380000	-1057687.875
385000	-1059416.5
390000	-1061398.625
395000	-1062667.75
400000	-1066400.75
405000	-1067930.75
410000	-1071590.875
415000	-1073664.875
420000	-1075405.25
425000	-1076635.75
430000	-1077499.25
435000	-1077432
440000	-1077886.375
445000	-1079307.25
450000	-1081563.375
455000	-1082720.5
460000	-1084528.5
465000	-1084981.75
470000	-1085527.25
475000	-1086538.25
480000	-1087053.75
485000	-1087438.25
490000	-1088781.25
495000	-1089234.625
500000	-1090240
505000	-1091861.125
510000	-1092349.75
515000	-1092955.375
520000	-1093142.875
525000	-1094627.5
530000	-1097252
535000	-1099528.625
540000	-1101733.125
545000	-1105708
550000	-1106671.25
555000	-1107473.75
560000	-1108253.5
565000	-1109052
570000	-1109652.375
575000	-1109809.625
580000	-1110294
585000	-1110678.375
590000	-1111441.875
595000	-1113220.5
600000	-1113570
605000	-1113564.5
610000	-1114208.5
615000	-1115043
620000	-1115682.5
625000	-1115725
630000	-1115757
635000	-1115826.75
640000	-1115637.5
645000	-1116231.5
650000	-1116732.25
655000	-1117016.5
660000	-1117597.25
665000	-1118731.25
670000	-1119573.25
675000	-1119742.75
680000	-1121990.875
685000	-1122781.625
690000	-1124235.875
695000	-1125024.125
700000	-1125789
705000	-1126467
710000	-1127222.75
715000	-1128297.75
720000	-1130345
725000	-1130717.75
730000	-1132687.25
735000	-1135035.25
740000	-1137072.5
745000	-1137588.25
750000	-1138142.25
755000	-1138374.5
