timestep	potential_energy
0	113020.6016
5000	-1785.334106
10000	-3174.167236
15000	-4895.235352
20000	-6404.015625
25000	-7705.87793
30000	-9104.888672
35000	-10475.52148
40000	-11833.28613
45000	-13238.66992
50000	-14659.74707
55000	-15869.0957
60000	-17245.39258
65000	-18819.58984
70000	-20251.37109
75000	-21557.96094
80000	-22865.71484
85000	-24180.7168
90000	-25464.75391
95000	-26717.12891
100000	-27770.48828
105000	-28992.37891
110000	-30281.30469
115000	-31501.81641
120000	-32706.55078
125000	-33814.62109
130000	-34725.59375
135000	-35819.45312
140000	-36774.55469
145000	-37585.36719
150000	-38640.83594
155000	-39610.28125
160000	-40839.20312
165000	-41591.35156
170000	-42344.46484
175000	-43232.74219
180000	-44359.4375
185000	-45240.79688
190000	-46048.84375
195000	-46988.63672
200000	-47916.79688
205000	-48442.85938
210000	-49312.58984
215000	-50187.14453
220000	-51024.40625
225000	-51668.42188
230000	-52454.77344
235000	-53002.42188
240000	-53724.02344
245000	-54461.38281
250000	-55230.24219
255000	-55786.1875
260000	-56340
265000	-56782.20312
270000	-57526.08594
275000	-58189.78125
280000	-58940.5
285000	-59574.8125
290000	-60353.4375
295000	-61113.07812
300000	-61904.48438
305000	-62161.14062
310000	-62570.17188
315000	-63145.74609
320000	-63550.8125
325000	-64044.87109
330000	-64376.30078
335000	-65135.54688
340000	-65540.26562
345000	-66022.875
350000	-66468.125
355000	-67025.88281
360000	-67415.69531
365000	-67890.30469
370000	-68494.64844
375000	-68681.09375
380000	-69218.28125
385000	-69627.32812
390000	-69910.1875
395000	-70241.82812
400000	-70677.17188
405000	-71234.03125
410000	-71884.14062
415000	-72216.72656
420000	-72457.48438
425000	-73105.67188
430000	-73462.8125
435000	-73775.23438
440000	-74316.92969
445000	-74690.21875
450000	-75407.95312
455000	-75702.375
460000	-76005.51562
465000	-76401.25
470000	-76819.35156
475000	-77263.95312
480000	-77623.75781
485000	-77958.94531
490000	-78233.41406
495000	-78504.41406
500000	-78683.57812
505000	-79031.25
510000	-79231.53125
515000	-79622.53906
520000	-79808.69531
525000	-79966.75
530000	-80469.10938
535000	-80609.92188
540000	-80938.33594
545000	-81137.1875
550000	-81579.9375
555000	-81795.23438
560000	-82165.59375
565000	-82421.25
570000	-82552.14062
575000	-82853.17188
580000	-83005.04688
585000	-83340.54688
590000	-83747.75
595000	-83857.69531
600000	-83956.10938
605000	-84292.16406
610000	-84339.46094
615000	-84831.92969
620000	-85051.66406
625000	-85338.17188
630000	-85498.53125
635000	-85651.53125
640000	-85827.26562
645000	-86330.60938
650000	-86635.28125
655000	-86876.09375
660000	-86981.63281
665000	-87243.9375
670000	-87545.51562
675000	-87801.14844
680000	-88224.08594
685000	-88574.61719
690000	-88961.26562
695000	-88872.77344
700000	-89124.07031
705000	-89285.59375
710000	-89190.40625
715000	-89676.26562
720000	-89859.92969
725000	-90003.71875
730000	-89991.07812
735000	-90277.46875
740000	-90396.34375
745000	-90816.48438
750000	-91006.82812
755000	-91074.6875
760000	-91155.89062
765000	-91516.53125
770000	-91810.17969
775000	-91930.90625
780000	-92283.8125
785000	-92273.23438
790000	-92773.24219
795000	-92987.40625
800000	-93267.45312
805000	-93378.10938
810000	-93664.80469
815000	-93782.89062
820000	-93975.42188
825000	-94084.67188
830000	-94219.10938
835000	-94432.65625
840000	-94396.89062
845000	-94725.95312
850000	-94914.89062
855000	-95108.9375
860000	-95015.78906
865000	-95293.63281
870000	-95476.45312
875000	-95431.49219
880000	-95741.75
885000	-96065.14062
890000	-95957.78125
895000	-96078.75781
900000	-96157.25
905000	-96426.75
910000	-96716
915000	-96801.14062
920000	-97110.92188
925000	-97120.19531
930000	-97246.6875
935000	-97263.98438
940000	-97465.875
945000	-97609.03906
950000	-97807.6875
955000	-98037.32031
960000	-98182.26562
965000	-98340.60938
970000	-98377.84375
975000	-98315.03125
980000	-98504.01562
985000	-98618.9375
990000	-98476.96094
995000	-98843.1875
1000000	-98735.4375
1005000	-98854.54688
1010000	-99136.92188
1015000	-99343.29688
1020000	-99478.33594
1025000	-99618.70312
1030000	-99921.28125
1035000	-100138.1641
1040000	-100105.3047
1045000	-100547.2969
1050000	-100489.1094
1055000	-100676.9141
1060000	-100909.9375
1065000	-100823.1562
1070000	-100832.2969
1075000	-101239.9531
1080000	-101212.5859
1085000	-101309.3594
1090000	-101185.5859
1095000	-101446.0156
1100000	-101495.5156
1105000	-101639.0391
1110000	-101775.0859
1115000	-101789.5781
1120000	-101863.2812
1125000	-101861.0156
1130000	-102152.4141
1135000	-102111.1641
1140000	-102282.7578
1145000	-102473.6094
1150000	-102528.7266
1155000	-102713.7812
1160000	-102903.1016
1165000	-103264.125
1170000	-103182.3438
1175000	-103329.6406
1180000	-103235.8594
1185000	-103289.4844
1190000	-103346.0625
1195000	-103476.0312
1200000	-103319.6719
1205000	-103419.9609
1210000	-103589.625
1215000	-103813.1562
1220000	-103637.0078
1225000	-103794.2188
1230000	-103819.2734
1235000	-104018.3828
1240000	-103940.0547
1245000	-104039.8359
1250000	-104183.3438
1255000	-104418.9141
1260000	-104508.75
1265000	-104776.7656
1270000	-104853.3594
1275000	-104873.25
1280000	-104912.1016
1285000	-105223.0625
1290000	-105074.2891
1295000	-105248.0859
1300000	-105307.625
1305000	-105243.9688
1310000	-105392.4531
1315000	-105502.7969
1320000	-105754.875
1325000	-105858.6094
1330000	-105777.3906
1335000	-106090.4297
1340000	-106164.0469
1345000	-105967.4219
1350000	-106045.2344
1355000	-106415.1406
1360000	-106519.0078
1365000	-106493.9844
1370000	-106473.5391
1375000	-106558.1875
1380000	-106477.5391
1385000	-106530.3672
1390000	-106667.9531
1395000	-106692.7266
1400000	-106850.4297
1405000	-107046.9688
1410000	-106927.2734
1415000	-107020.2422
1420000	-107188.0938
1425000	-107357.8594
1430000	-107318.9609
1435000	-107590.1484
1440000	-107526.2188
1445000	-107647.9766
1450000	-107942.4844
1455000	-108058.7656
1460000	-108003.6641
1465000	-108129.5703
1470000	-108236.4844
1475000	-108350.4766
1480000	-108305.5156
1485000	-108371.2656
1490000	-108524.6172
1495000	-108416.0625
1500000	-108700.0938
1505000	-108716.1875
1510000	-108831.7188
1515000	-109004.6797
1520000	-108843.5078
1525000	-108917.2344
1530000	-108878.125
1535000	-109126.5
1540000	-109120.1641
1545000	-109428.0312
1550000	-109450.8281
1555000	-109379.1562
1560000	-109555.4922
1565000	-109782.3281
1570000	-109747.4688
1575000	-109599.5859
1580000	-109571.8125
1585000	-109715.7969
1590000	-110006.7344
1595000	-109992.2969
1600000	-110027.2344
1605000	-110056.7812
1610000	-110199.0469
1615000	-110305.2344
1620000	-110235.4453
1625000	-110320.9609
1630000	-110518.4609
1635000	-110356.5312
1640000	-110538.0156
1645000	-110545.8203
1650000	-110539.2344
1655000	-110750.3672
1660000	-110552.7109
1665000	-110598.8828
1670000	-110866.6797
1675000	-110995.7969
1680000	-110919.375
1685000	-111252.6172
1690000	-111123.6328
1695000	-111317.8438
1700000	-111440.3438
1705000	-111212.0859
1710000	-111562.5156
1715000	-111680.1328
1720000	-111823.4922
1725000	-111916.8594
1730000	-111807.2812
1735000	-112058.4141
1740000	-112078.0938
1745000	-112056.6562
1750000	-112238.75
1755000	-112238.7578
1760000	-112192.7344
1765000	-112113.2969
1770000	-112466.9375
1775000	-112396.2031
1780000	-112391.2031
1785000	-112522.7891
1790000	-112794.2656
1795000	-112709.5156
1800000	-112610.1406
1805000	-112912.0625
1810000	-112829.5469
1815000	-113060.4688
1820000	-113011.7031
1825000	-113008.9844
1830000	-113083.0234
1835000	-113235.0703
1840000	-113308.7734
1845000	-113466.6719
1850000	-113508.7266
1855000	-113413.6797
1860000	-113744.0469
1865000	-113838.7656
1870000	-113696.5703
1875000	-113807.4219
1880000	-113704.3281
1885000	-113747.4297
1890000	-113646.3281
1895000	-113825.7656
1900000	-114031.1562
1905000	-113854.2344
1910000	-113878.5078
1915000	-114130.3125
1920000	-114117.0938
1925000	-114419.7344
1930000	-114428.4609
1935000	-114358.4766
1940000	-114440.9531
1945000	-114505.0469
1950000	-114464.3672
1955000	-114343.0078
1960000	-114539.7812
1965000	-114547.9062
1970000	-114718.4766
1975000	-114664.9688
1980000	-114691.8594
1985000	-114613.3281
1990000	-114748.7031
1995000	-114736.2109
2000000	-114773.5859
2005000	-114953.8281
2010000	-115151.0469
2015000	-114868.0625
2020000	-115162.2344
2025000	-115341.6094
2030000	-115276.7656
2035000	-115430.7656
2040000	-114933.1562
2045000	-115220.9219
2050000	-115377.9531
2055000	-115236.875
2060000	-115371.7344
2065000	-115250.2969
2070000	-115317.8438
2075000	-115616.9844
2080000	-115476.4062
2085000	-115688.5078
2090000	-115783.3359
2095000	-115999.7969
2100000	-115902.0625
2105000	-115788.3203
2110000	-116130.6875
2115000	-116090.2422
2120000	-115922.1406
2125000	-116098.5938
2130000	-116246.4062
2135000	-115996.1875
2140000	-116296.8281
2145000	-116384.4688
2150000	-116239.5469
2155000	-116233.7891
2160000	-116416
2165000	-116432.4219
2170000	-116493.8828
2175000	-116562.2188
2180000	-116616.3281
2185000	-116684.4922
2190000	-116748.25
2195000	-116769.375
2200000	-116769.6719
2205000	-117080.6328
2210000	-116921.4688
2215000	-117031.4062
2220000	-116910.8906
2225000	-117158.5469
2230000	-116868.1172
2235000	-117236.8281
2240000	-116905.2422
2245000	-117044.6406
2250000	-117111.3125
2255000	-116977.7266
2260000	-117093.6406
2265000	-117168.7656
2270000	-117192.9062
2275000	-117069.7891
2280000	-117216.1562
2285000	-117191.1953
2290000	-117162.2656
2295000	-117249.7969
2300000	-117301.1953
2305000	-117284.7031
2310000	-117464.0547
2315000	-117329.2344
2320000	-117610.6719
2325000	-117624.2969
2330000	-117716.0625
2335000	-117757.8125
2340000	-117668.3906
2345000	-117596.0938
2350000	-117590.6406
2355000	-117782.4375
2360000	-117622.5938
2365000	-117754.375
2370000	-117995.2031
2375000	-117924.2188
2380000	-118193.1484
2385000	-118066.1719
2390000	-117970.6719
2395000	-118164.5312
2400000	-118183.4062
2405000	-118128.0703
2410000	-118365.125
2415000	-118288.9688
2420000	-118160.1406
2425000	-118169.25
2430000	-118315.7109
2435000	-118208.0391
2440000	-118237.375
2445000	-118529.7734
2450000	-118298.1875
2455000	-118242.2578
2460000	-118383.7578
2465000	-118567.2812
2470000	-118571.2656
2475000	-118528.2812
2480000	-118625.875
2485000	-118783.7891
2490000	-118572.9688
2495000	-118562.8594
2500000	-118709.125
2505000	-118760.0625
2510000	-118783.1094
2515000	-118786.8125
2520000	-118520.7188
2525000	-118950.0312
2530000	-118803.6875
2535000	-119045.1094
2540000	-119194.4062
2545000	-119017.5938
2550000	-119009.3594
2555000	-118942.1719
2560000	-119021.3594
2565000	-119121.2734
2570000	-119428.875
2575000	-119068.3984
2580000	-119110.6562
2585000	-119158.2812
2590000	-119414.6875
2595000	-119450.4062
2600000	-119420.9219
2605000	-119570.4062
2610000	-119470.5781
2615000	-119578.5703
2620000	-119744.6719
2625000	-119630.25
2630000	-119486.3438
2635000	-119646.2812
2640000	-119728.2969
2645000	-119738.7188
2650000	-119530.6719
2655000	-119772.8203
2660000	-119610.8984
2665000	-119830.4844
2670000	-119861.0156
2675000	-119641.6719
2680000	-119564.3047
2685000	-120039.8047
2690000	-119895.6484
2695000	-119909.625
2700000	-120117.5938
2705000	-120049.2031
2710000	-120286.8828
2715000	-120236.2188
