timestep	potential_energy
0	-245.6945496
5000	-251.8908539
10000	-258.1937866
15000	-252.7098694
20000	-256.459259
25000	-243.7211304
30000	-249.9797363
35000	-245.6473999
40000	-246.1470947
45000	-247.8916931
50000	-243.7055969
55000	-242.6944275
60000	-248.0400391
65000	-247.5707397
70000	-245.29422
75000	-242.5531921
80000	-245.452301
85000	-246.7606201
90000	-250.0913086
95000	-253.398468
100000	-248.0058136
105000	-249.6033325
110000	-250.2849579
115000	-241.8339844
120000	-248.1340637
125000	-250.5447388
130000	-247.1410065
135000	-250.6053162
140000	-246.4645996
145000	-237.8541565
150000	-246.8987427
155000	-244.9345856
160000	-246.6185455
165000	-251.4848938
170000	-246.4913635
175000	-246.9402161
180000	-246.872879
185000	-244.6710205
190000	-252.191803
195000	-248.7446594
200000	-249.6254272
205000	-245.9796448
210000	-246.1713104
215000	-239.7850647
220000	-247.5708313
225000	-253.3867798
230000	-244.4694824
235000	-249.1560516
240000	-251.4516907
245000	-252.7738495
250000	-249.6279907
255000	-249.8136139
260000	-244.8597107
265000	-241.774765
270000	-251.4584808
275000	-251.4708252
280000	-245.1544952
285000	-253.606369
290000	-244.9506683
295000	-247.7941895
300000	-243.8257141
305000	-242.3621826
310000	-255.5990143
315000	-253.8078613
320000	-250.7384186
325000	-240.2099304
330000	-249.5097656
335000	-245.8641357
340000	-249.7424011
345000	-248.6170197
350000	-253.2411194
355000	-248.1058044
360000	-246.198288
365000	-247.7133789
370000	-244.7705231
375000	-245.5157776
380000	-247.6236877
385000	-249.5413818
390000	-244.8434448
395000	-249.325531
400000	-249.1581116
405000	-247.4806213
410000	-254.037796
415000	-240.610321
420000	-251.0690002
425000	-244.1148987
430000	-243.7244568
435000	-243.2814941
440000	-251.9210205
445000	-247.1891022
450000	-254.3791809
455000	-247.7762146
460000	-251.3265076
465000	-249.6374512
470000	-245.5311279
475000	-245.3730164
480000	-242.9337769
485000	-243.8123016
490000	-244.3104858
495000	-250.8485718
500000	-244.6120911
505000	-247.5962524
510000	-254.0228882
515000	-249.0824585
520000	-243.7409058
525000	-244.7308044
530000	-245.8130798
535000	-245.6325684
540000	-246.9690857
545000	-248.6768494
550000	-252.6303101
555000	-250.3221893
560000	-252.5492554
565000	-246.5996704
570000	-245.8482361
575000	-241.5226593
580000	-247.755188
585000	-244.5948639
590000	-249.0441589
595000	-247.8323364
600000	-247.4936523
605000	-243.3365173
610000	-250.3678894
615000	-246.7926941
620000	-250.6062164
625000	-248.0698853
630000	-252.5087891
635000	-256.7018433
640000	-246.6958618
645000	-249.2817383
650000	-243.1517944
655000	-254.6088867
660000	-246.15625
665000	-249.0969543
670000	-251.5057831
675000	-243.3002167
680000	-247.3476562
685000	-252.6221924
690000	-250.9582672
695000	-249.0166626
700000	-251.3663788
705000	-247.6599121
710000	-248.9289856
715000	-250.2246704
720000	-240.9506378
725000	-253.8989563
730000	-247.6158752
735000	-242.3690796
740000	-248.9807281
745000	-248.7937622
750000	-248.0700989
755000	-250.183197
760000	-239.2213135
765000	-244.1822357
770000	-234.6014099
775000	-239.8430786
780000	-244.8934021
785000	-242.6458893
790000	-242.2073364
795000	-246.574234
800000	-250.8515625
805000	-243.4793396
810000	-246.4024048
815000	-243.057373
820000	-250.3336792
825000	-246.9864502
830000	-245.09198
835000	-244.1268005
