timestep	potential_energy
0	-2.028473616
5000	-1.908480048
10000	-2.302284241
15000	-2.323388338
20000	-2.044919491
25000	-1.933308721
30000	-2.648705006
35000	-1.75540638
40000	-1.973165989
45000	-1.949524522
50000	-2.273966074
55000	-2.357821703
60000	-2.19319725
65000	-1.823269248
70000	-2.243824005
75000	-1.790394306
80000	-1.722173929
85000	-1.581964493
90000	-1.832875371
95000	-2.063935518
100000	-1.845726252
105000	-2.099544764
110000	-1.766429186
115000	-2.10133338
120000	-2.204451799
125000	-2.330670357
130000	-1.602894306
135000	-2.133184433
140000	-1.972404122
145000	-1.986710191
150000	-2.176845074
155000	-2.154697895
160000	-1.941877842
165000	-2.043884277
170000	-2.301896095
175000	-1.674942255
180000	-2.140028477
185000	-1.75531745
190000	-1.655321956
195000	-1.894216418
200000	-1.813361883
205000	-2.512012482
210000	-2.21834898
215000	-2.26002121
220000	-2.50012207
225000	-1.892671585
230000	-1.839635134
235000	-2.467476606
240000	-2.836890221
245000	-2.461645842
250000	-2.05726862
255000	-2.618690491
260000	-2.09482193
265000	-1.807385921
270000	-2.022702217
275000	-1.858427405
280000	-1.509279966
285000	-1.746173739
290000	-2.028274059
295000	-1.511263371
300000	-1.766104341
305000	-2.05648613
310000	-2.037496805
315000	-1.797868967
320000	-1.845920444
325000	-1.650228024
330000	-2.303817987
335000	-2.118495703
340000	-2.340848446
345000	-2.221437454
350000	-1.671576381
355000	-2.24952507
360000	-1.985097408
365000	-1.757948399
370000	-1.681437612
375000	-1.696253896
380000	-1.822900176
385000	-1.990689278
390000	-2.240549088
395000	-2.331173182
400000	-1.804234624
405000	-2.404685974
410000	-2.206427574
415000	-1.614843845
420000	-2.157261848
425000	-2.24638319
430000	-2.108790874
435000	-1.983045459
440000	-1.932025671
445000	-2.011569977
450000	-2.410798311
455000	-1.946660399
460000	-1.704074383
465000	-1.787143946
470000	-2.084715128
475000	-2.237961292
480000	-2.427145958
485000	-1.796780109
490000	-1.685616493
495000	-2.418232918
500000	-2.681736231
505000	-2.485444546
510000	-2.385987282
515000	-2.091840029
520000	-2.311281681
525000	-1.545627117
530000	-1.969976664
535000	-1.849034548
540000	-1.579833269
545000	-1.471548557
550000	-1.812893391
555000	-1.904572487
560000	-1.976443887
565000	-1.538864017
570000	-1.963100076
575000	-2.107429981
580000	-1.907295704
585000	-2.090280533
590000	-1.814486742
595000	-1.792410016
600000	-1.588114858
605000	-1.489057302
610000	-1.936245203
615000	-1.653403759
620000	-1.897599936
625000	-2.167286634
630000	-1.810243845
635000	-1.960865259
640000	-2.667448282
645000	-1.921246767
650000	-1.823503971
655000	-2.694624901
660000	-2.288644314
665000	-2.764068127
670000	-1.786471605
675000	-2.10179925
680000	-2.030540228
685000	-2.356264591
690000	-2.021757603
695000	-1.908304691
700000	-1.863775373
705000	-1.631430984
710000	-1.732854366
715000	-1.727472782
720000	-1.563075185
725000	-2.104911804
730000	-1.974171638
735000	-1.796103239
740000	-2.090903759
745000	-1.86505878
750000	-1.632170439
755000	-1.837375998
760000	-1.653475523
765000	-1.635086775
770000	-2.365357399
775000	-1.859886646
780000	-1.788539052
785000	-1.966531515
790000	-1.786393762
795000	-1.806647301
800000	-1.828843594
805000	-1.780539632
810000	-1.904362679
815000	-1.870053411
820000	-1.842141151
825000	-1.732093334
830000	-2.131199837
835000	-2.051571846
840000	-1.715566635
845000	-2.21485281
850000	-2.179969788
855000	-1.736841083
860000	-1.895581722
865000	-1.677784443
870000	-2.140752554
875000	-2.221428394
880000	-1.452360272
885000	-1.737248182
890000	-1.811398149
895000	-1.687562346
900000	-1.82017076
905000	-2.298391104
910000	-1.679433346
915000	-2.178242683
920000	-2.097342014
925000	-2.412439346
930000	-1.725960374
935000	-1.839048862
940000	-2.204672098
945000	-2.642301559
950000	-2.109344959
955000	-2.371756554
960000	-2.077497482
965000	-2.572314739
970000	-2.387747526
975000	-2.294513941
980000	-2.020718813
985000	-2.159686089
990000	-2.166165352
995000	-2.049753666
1000000	-1.888570786
1005000	-2.123647213
1010000	-1.774005651
1015000	-2.058259487
1020000	-0.7439105511
1025000	-2.114372015
1030000	-1.543276072
1035000	-1.638661027
1040000	-1.885876656
1045000	-1.594008803
1050000	-1.83031702
1055000	-1.950562477
1060000	-2.007638931
1065000	-1.924253941
1070000	-1.807073355
1075000	-1.727935433
1080000	-1.832268357
1085000	-1.956241369
1090000	-2.363718271
1095000	-1.635324717
1100000	-1.768361807
1105000	-1.638758779
1110000	-1.626736164
1115000	-1.437566996
1120000	-1.75019753
1125000	-1.599068284
1130000	-1.990665197
1135000	-2.263214588
1140000	-1.891664982
1145000	-1.918822169
1150000	-1.718468428
1155000	-1.960466504
1160000	-1.792384982
1165000	-1.810868025
1170000	-2.260336161
1175000	-1.902420044
1180000	-1.995189905
1185000	-2.189299107
1190000	-1.771395087
1195000	-2.35416913
1200000	-2.135950327
1205000	-1.86437881
1210000	-1.803311467
1215000	-1.748162985
1220000	-1.846574306
1225000	-1.544109344
1230000	-1.636017084
1235000	-2.001639843
1240000	-2.303619862
1245000	-2.333951712
1250000	-1.677968144
1255000	-2.071324825
1260000	-2.109931946
1265000	-1.981284142
1270000	-1.806182861
1275000	-1.825436115
1280000	-1.67201972
1285000	-1.936171055
1290000	-1.803310275
1295000	-1.563364506
1300000	-2.165822268
1305000	-2.090539932
1310000	-1.566271067
1315000	-1.969223499
1320000	-2.04042387
