timestep	potential_energy
0	-53087.44531
5000	-277603.125
10000	-419619.0938
15000	-528111.375
20000	-627722.75
25000	-720254
30000	-787740.9375
35000	-854180.375
40000	-923916.1875
45000	-974270.875
50000	-1016269.125
55000	-1061671.125
60000	-1110626.625
65000	-1161803.5
70000	-1205476.5
75000	-1248227
80000	-1291982.25
85000	-1329677
90000	-1371658
95000	-1394478
100000	-1433763.125
105000	-1457156.5
110000	-1479895.25
115000	-1508011.75
120000	-1551834.75
125000	-1574016.5
130000	-1598556
135000	-1615147
140000	-1640834.5
145000	-1668711.5
150000	-1686801.375
155000	-1707964.25
160000	-1744498.375
165000	-1757786.75
170000	-1788922.875
175000	-1796972.5
180000	-1814061.375
185000	-1838219.25
190000	-1853428.875
195000	-1869949.875
200000	-1894795.25
205000	-1906280
210000	-1929394.25
215000	-1946321.5
220000	-1956299.75
225000	-1963080.375
230000	-1963703.75
235000	-1979759.75
240000	-2003397.25
245000	-2017337.25
250000	-2030577.375
255000	-2059771.75
260000	-2081593.75
265000	-2106578
270000	-2122354
275000	-2151511.5
280000	-2174241.75
285000	-2184534.75
290000	-2206025.75
295000	-2224425.25
300000	-2231287.5
305000	-2245053.75
310000	-2262828
315000	-2285857
320000	-2301537
325000	-2315408.5
330000	-2328667.5
335000	-2334787.75
340000	-2350580
345000	-2359902.5
350000	-2366076.75
355000	-2369729
360000	-2373395.5
365000	-2386406.5
370000	-2390453.5
375000	-2400641.5
380000	-2409345
385000	-2422216.75
390000	-2438706
395000	-2453210.25
400000	-2472547.25
405000	-2478289.75
410000	-2483918.75
415000	-2495345
420000	-2506426.25
425000	-2514876
430000	-2522764.5
435000	-2528909.75
440000	-2543762.5
445000	-2548515
450000	-2552807
455000	-2562952.75
460000	-2567445.75
465000	-2575539.5
470000	-2597782
475000	-2607906
480000	-2622667.5
485000	-2635631.75
490000	-2639444
495000	-2650240.5
500000	-2651611
505000	-2658875.5
510000	-2664569.5
515000	-2669559
520000	-2680515.5
525000	-2694243.75
530000	-2694803.25
535000	-2698881.5
540000	-2704281.5
545000	-2709754.25
550000	-2709571.5
555000	-2709719.5
560000	-2712971
565000	-2711883.5
570000	-2715173
575000	-2726167.5
580000	-2727069.5
585000	-2730993
590000	-2744046.5
595000	-2747029
600000	-2756419.75
605000	-2762866.75
610000	-2765711.75
615000	-2769127.5
620000	-2778935
625000	-2783472.75
630000	-2785951.75
635000	-2786097.5
640000	-2790665.5
645000	-2793578
650000	-2795220
655000	-2797293.25
660000	-2805095.5
665000	-2810427
670000	-2828501.5
675000	-2837236.5
680000	-2849911.25
685000	-2853659
690000	-2854644
695000	-2862878.25
700000	-2867739
705000	-2867929
710000	-2868357.5
715000	-2869136
720000	-2879046
725000	-2890198.5
730000	-2896206.5
735000	-2898259.25
740000	-2917644.25
745000	-2930891.5
750000	-2931422.5
755000	-2932015.75
760000	-2931387.5
765000	-2936605.5
770000	-2943217.25
775000	-2942124
780000	-2951479.25
785000	-2957269.25
790000	-2958123.5
795000	-2957264
800000	-2957708.5
805000	-2957351.25
810000	-2957237.5
815000	-2957356
820000	-2960064
825000	-2962962
830000	-2969973
835000	-2973791.75
840000	-2978397.5
845000	-2983210
850000	-2991719
855000	-2999685.25
860000	-3000223.25
865000	-2999272.75
870000	-3003457.75
875000	-3006969.5
880000	-3011684
885000	-3017137
890000	-3023608.5
895000	-3025746.75
900000	-3024885
905000	-3027932.75
910000	-3029642.5
915000	-3029403
920000	-3034408.25
925000	-3033198.25
930000	-3033172.25
935000	-3032311.5
940000	-3041109.75
945000	-3046261.25
950000	-3054749.75
955000	-3056483.25
960000	-3056388.75
965000	-3055050
970000	-3062552.5
975000	-3064005.25
980000	-3064972.5
985000	-3068274
990000	-3075164.5
995000	-3077897.25
1000000	-3086993.5
1005000	-3093159.25
1010000	-3101155.75
1015000	-3104262.25
1020000	-3104283
1025000	-3103020.25
1030000	-3119819.75
1035000	-3129997.75
1040000	-3129929
1045000	-3131078.5
1050000	-3134468
1055000	-3144529
1060000	-3146449.5
1065000	-3146090
1070000	-3146841.5
1075000	-3145427.25
