timestep	potential_energy
0	-18838.38086
5000	-59651.32812
10000	-99304.11719
15000	-131959.1719
20000	-154961.0312
25000	-171429.4844
30000	-184123.125
35000	-195463.0625
40000	-204267.375
45000	-209548.1875
50000	-215068.9688
55000	-219823.625
60000	-225991.6562
65000	-231415.8906
70000	-236144.875
75000	-240779.0625
80000	-244915.8906
85000	-248910.1875
90000	-251861.7188
95000	-255091.5
100000	-257331.3125
105000	-258173.5625
110000	-260735.5312
115000	-262246.875
120000	-264401.9375
125000	-266174.5625
130000	-268106.1562
135000	-268775
140000	-270559.6875
145000	-272399.375
150000	-274298.0625
155000	-276071.625
160000	-278301.5625
165000	-280034.4688
170000	-280888.7188
175000	-281612.125
180000	-281524.5
185000	-282720.125
190000	-284375.1875
195000	-286526.9062
200000	-287130.875
205000	-287404.5312
210000	-288773.5
215000	-290952.2188
220000	-291652.4688
225000	-292043.4062
230000	-294037.4375
235000	-294714.0312
240000	-296318.9375
245000	-296704.625
250000	-299202.0625
255000	-300098.0625
260000	-300767.3125
265000	-301772.0625
270000	-301955.4375
275000	-302327.6562
280000	-303477.125
285000	-304091.625
290000	-304720.9062
295000	-304989.0625
300000	-305727.8125
305000	-306489.0312
310000	-307092.6875
315000	-307995.4375
320000	-308172.75
325000	-308254.875
330000	-308121.4062
335000	-308561.5
340000	-309217.9062
345000	-308941.875
350000	-310719.6875
355000	-311996.25
360000	-312199.5
365000	-313084.6875
370000	-313772.3125
375000	-314376.0625
380000	-315312.9062
385000	-316234.75
390000	-317817.5625
395000	-317218.3438
400000	-318752.3125
405000	-320789.6562
410000	-322319
415000	-323225.4688
420000	-324327.5938
425000	-324443.3125
430000	-324429.5
435000	-325015.1875
440000	-324560.8125
445000	-326133.4375
450000	-325934.6875
455000	-326170.5
460000	-326232.375
465000	-326609.4375
470000	-327207.8125
475000	-327333.1875
480000	-328605
485000	-329898.6875
490000	-330249.9062
495000	-330284.2812
500000	-330401.2188
505000	-330673.4688
510000	-330131.7188
515000	-330821.625
520000	-330312.25
525000	-331528.3125
530000	-330515.3125
535000	-330831.9375
540000	-330913.875
545000	-331399.7812
550000	-331856.8438
555000	-334113.5625
560000	-335669.875
565000	-337235.875
570000	-337487.5
575000	-337976.0312
580000	-339654.375
585000	-339875.5
590000	-340836.6875
595000	-341775.75
600000	-342107.875
605000	-342971.5
610000	-344306.25
615000	-345237.8438
620000	-345532.8125
625000	-346680.9375
630000	-347976.25
635000	-347822.6875
640000	-347811
645000	-349043.125
650000	-350185.4062
655000	-350304.9375
660000	-351147
665000	-351624.5938
670000	-352481.1562
675000	-352807.7188
680000	-354135.1875
685000	-354897.875
690000	-356174.375
695000	-356487.5938
700000	-357116.0625
705000	-358000.6562
710000	-358025.9375
715000	-358132.3125
720000	-357666.625
725000	-358546.5938
730000	-358679.25
735000	-358625.8125
740000	-359347
745000	-358764.6875
750000	-358953.1875
755000	-358960.625
760000	-359541
765000	-360310.1562
770000	-360703.6875
775000	-360954.3125
780000	-361459.5
785000	-361212
790000	-361531.5312
795000	-361433.8438
800000	-361726.9688
805000	-362234.8438
810000	-362636.8125
815000	-362229.1875
820000	-362012.1562
825000	-362753.125
830000	-362732.6875
835000	-363298.8125
840000	-363042.8125
845000	-363963.6875
850000	-363977.0625
855000	-364403.9375
860000	-364020.6875
865000	-365320.5312
870000	-364748.125
875000	-364616.5625
880000	-365033
885000	-365158.5
890000	-365241.5
895000	-365799.1875
900000	-365625.625
905000	-365562.7812
910000	-365480.0312
915000	-366091.125
920000	-366292.625
925000	-366335.5312
930000	-366247.1562
935000	-366061.9688
940000	-366143.125
945000	-366470.4062
950000	-366055.25
955000	-366780.0625
960000	-366289.375
965000	-366556.8125
970000	-366391.5
975000	-367005.6875
980000	-366654.125
985000	-366151.6875
990000	-366985.2188
995000	-366597.0625
1000000	-366861
1005000	-367155.125
1010000	-366597.0625
1015000	-366606.6875
1020000	-367158.6562
1025000	-366678.25
1030000	-367213.9375
1035000	-367201.375
1040000	-367520.125
1045000	-367732.5938
1050000	-368375.1875
1055000	-369116.4062
1060000	-369772
1065000	-369750
1070000	-369860.1875
1075000	-370232.0625
1080000	-370525.6875
1085000	-370848.5
1090000	-370370.75
1095000	-371294.5
1100000	-370887.9375
1105000	-371297.2812
1110000	-371389.5
1115000	-371156.4375
1120000	-372339.125
1125000	-372331.5625
1130000	-371598.0625
1135000	-371576.5312
1140000	-371644.4062
1145000	-371733.75
1150000	-371689.5938
1155000	-372114.8125
1160000	-371550.9375
1165000	-371963.0625
1170000	-371702.5312
1175000	-371543.9062
1180000	-372179.3125
1185000	-372153.3125
1190000	-372072.3125
1195000	-372378.6562
1200000	-372625.9375
1205000	-372088.25
1210000	-371922.4062
1215000	-372514.5
1220000	-371781.5
1225000	-371938.0625
1230000	-372243.8438
1235000	-371747.5
1240000	-372613.0625
1245000	-372724.5625
1250000	-373125.75
1255000	-373236.4688
1260000	-373608.6875
1265000	-373238.0938
1270000	-373420.6875
1275000	-372672.0625
1280000	-373273.5625
1285000	-373180.75
1290000	-373543.8125
1295000	-373951.5625
1300000	-373291
1305000	-373367.4375
1310000	-373656.4062
1315000	-374072.4375
1320000	-373823.7812
1325000	-374142.0938
1330000	-373211.9375
1335000	-373736.125
1340000	-374291.6875
1345000	-373791.375
1350000	-374019.7188
1355000	-374812.5
1360000	-375000.2188
1365000	-374798.8438
1370000	-374762.1875
1375000	-374791
1380000	-375247.0625
1385000	-375249.4688
1390000	-375737.125
1395000	-375144.0938
1400000	-375703.3125
1405000	-375024.125
1410000	-375575.4062
1415000	-375090.6875
1420000	-375136.0625
1425000	-375481.75
1430000	-375296.2812
1435000	-375040.0625
1440000	-375161.7812
1445000	-375383.7812
1450000	-375327.5625
1455000	-375198.6875
1460000	-374849.0625
1465000	-374781.9375
1470000	-375379.0938
1475000	-374712.625
1480000	-375104.5312
1485000	-375688.6875
1490000	-375543.7812
1495000	-375227.7812
1500000	-375143.1875
1505000	-375145.875
1510000	-375634
1515000	-375134.8125
1520000	-375771.3125
1525000	-375829.5312
1530000	-376052.9375
1535000	-376265.7812
1540000	-376823.875
1545000	-376372.75
1550000	-377330.75
1555000	-377395.5
1560000	-377530.0938
1565000	-378010.6875
1570000	-376928.625
1575000	-377281.9688
1580000	-376848.875
1585000	-376545.5
1590000	-377226.4688
1595000	-377387.9375
1600000	-377877.5625
1605000	-376936.8125
1610000	-377403.125
1615000	-377123.8125
1620000	-377548.6875
1625000	-377101.4375
1630000	-377451.0312
1635000	-377417.1875
1640000	-377052.7188
1645000	-377517
1650000	-377609.1875
1655000	-377485.625
1660000	-377318.75
