timestep	potential_energy
0	-97914.91406
5000	-671551.375
10000	-886587.875
15000	-961268.8125
20000	-1017295
25000	-1065525.75
30000	-1097550.75
35000	-1127789.875
40000	-1156981.25
45000	-1178468.625
50000	-1197869.875
55000	-1224920.25
60000	-1242577.75
65000	-1256189.875
70000	-1269589.375
75000	-1277881.75
80000	-1282648.75
85000	-1294937.25
90000	-1309607.5
95000	-1318980.25
100000	-1323775.75
105000	-1327006.875
110000	-1333935.25
115000	-1346889.25
120000	-1360434.375
125000	-1362789.125
130000	-1370790.25
135000	-1384586.625
140000	-1391062.5
145000	-1401680.375
150000	-1406544.125
155000	-1410561.25
160000	-1411312
165000	-1413277.25
170000	-1424008.75
175000	-1429114.75
180000	-1432674.5
185000	-1442395.5
190000	-1453720.25
195000	-1455129.25
200000	-1455835.125
205000	-1458506.75
210000	-1458859
215000	-1462798.5
220000	-1466595.5
225000	-1468194.25
230000	-1472469.75
235000	-1478422.5
240000	-1481570.5
245000	-1484675.875
250000	-1488565.5
255000	-1493972.75
260000	-1493787.75
265000	-1495142
270000	-1500862.625
275000	-1506503.75
280000	-1512520.75
285000	-1526478.5
290000	-1532772.5
295000	-1534075.25
300000	-1534920
305000	-1536303
310000	-1538182.625
315000	-1547525.5
320000	-1553387.25
325000	-1557678.5
330000	-1560035.5
335000	-1562574
340000	-1570175.25
345000	-1576790.625
350000	-1588017.25
355000	-1591993.25
360000	-1595927.25
365000	-1601999
370000	-1603095.75
375000	-1610469.75
380000	-1616292.75
385000	-1618711
390000	-1623237.5
395000	-1624100.75
400000	-1628583.375
405000	-1633234.5
410000	-1638156.5
415000	-1651220.5
420000	-1655171.25
425000	-1656250.5
430000	-1656271.75
435000	-1656922.25
440000	-1657050.25
445000	-1656824.5
450000	-1657038.5
455000	-1657396.75
460000	-1657233.375
465000	-1660255.5
470000	-1661965
475000	-1664800.5
480000	-1670489.5
485000	-1670881
490000	-1671754
495000	-1672172
500000	-1679639.25
505000	-1680714.625
510000	-1681172.125
515000	-1681165.625
520000	-1684882.5
525000	-1691527.25
530000	-1693534.875
535000	-1693928.625
540000	-1694141
545000	-1698520.75
550000	-1702905.125
555000	-1703465.75
560000	-1707026
565000	-1707234.125
570000	-1709828.375
575000	-1711472
580000	-1716007.25
585000	-1722347.25
590000	-1726254
595000	-1729081
600000	-1729589.125
605000	-1729409.5
610000	-1730018
615000	-1731341.25
620000	-1737099.5
625000	-1739001.25
630000	-1741104.75
635000	-1742482.75
640000	-1743661.25
645000	-1748215.125
650000	-1749694.25
655000	-1751365.25
660000	-1755962.75
665000	-1758716
670000	-1760150.25
675000	-1760180.75
680000	-1759908.125
685000	-1761633
690000	-1763090
695000	-1770178.5
700000	-1771469.25
705000	-1770942
710000	-1771087.75
715000	-1772568.5
720000	-1771851.375
725000	-1772082.25
730000	-1771556.75
735000	-1772473.25
740000	-1778311.625
745000	-1779135
750000	-1782952.25
755000	-1784325.5
760000	-1785169.25
765000	-1785378.25
770000	-1786902.75
775000	-1797156.5
780000	-1801517
785000	-1804635.25
790000	-1805594.875
795000	-1804947
800000	-1805161
805000	-1806719.25
810000	-1806214.75
815000	-1806615.5
820000	-1806746.5
825000	-1807175.75
830000	-1808161
835000	-1807925.75
840000	-1808353.25
845000	-1808444.875
850000	-1808744.5
855000	-1808424.875
860000	-1809261.5
865000	-1809208.875
870000	-1809970
875000	-1809808.5
880000	-1809881.75
885000	-1810460.75
890000	-1810224.25
895000	-1810363.5
900000	-1811075.25
905000	-1810294.625
910000	-1809893.75
915000	-1810659.375
920000	-1811255.75
925000	-1811159.5
930000	-1810782
935000	-1815678.625
940000	-1815763.5
945000	-1816808
950000	-1815931.125
955000	-1816528.5
960000	-1816380.5
965000	-1816449.625
970000	-1817420.25
975000	-1816881
980000	-1817346.5
985000	-1817515.5
990000	-1817423.875
995000	-1817507.5
1000000	-1824998.5
1005000	-1830649.5
1010000	-1831829.25
1015000	-1832488.125
1020000	-1836631.875
1025000	-1837684.125
1030000	-1837940.75
1035000	-1837538.5
1040000	-1837772.5
1045000	-1837557.75
1050000	-1837764.875
1055000	-1837345.125
1060000	-1838001
1065000	-1839089.125
1070000	-1838191.5
1075000	-1838078.5
1080000	-1838490
1085000	-1837596.5
1090000	-1840723.125
1095000	-1842073.75
1100000	-1841003.5
1105000	-1841130
1110000	-1841418.875
1115000	-1842023.5
1120000	-1841490.75
1125000	-1841653.75
1130000	-1841891.5
1135000	-1841823.5
1140000	-1841357.5
1145000	-1846072.75
1150000	-1847160.125
1155000	-1847389
1160000	-1846719
1165000	-1846121.625
1170000	-1846225.5
1175000	-1846618.25
1180000	-1846703.375
1185000	-1846277
1190000	-1847070.875
1195000	-1846762.875
1200000	-1846781.5
1205000	-1846414
1210000	-1846680.75
1215000	-1850827.25
1220000	-1853134.75
1225000	-1852636.375
1230000	-1852933.75
1235000	-1853140.75
1240000	-1852427
1245000	-1852480.25
1250000	-1852621.5
1255000	-1852081.375
1260000	-1852598.5
1265000	-1853160.75
1270000	-1852454
1275000	-1853259.5
1280000	-1852886
1285000	-1853916
1290000	-1853466.25
1295000	-1853956.375
1300000	-1854281.125
1305000	-1855580.25
1310000	-1857903
1315000	-1858182.5
1320000	-1857844.75
1325000	-1858528.75
1330000	-1857755.75
1335000	-1857444.25
1340000	-1862531.5
1345000	-1864712.375
1350000	-1863922.75
1355000	-1864637.875
1360000	-1864308.125
1365000	-1865127
1370000	-1868877
1375000	-1869785
1380000	-1872622.25
1385000	-1877467.625
1390000	-1878540
1395000	-1880148.5
1400000	-1880076.125
1405000	-1879915.5
1410000	-1880523.5
1415000	-1879864.875
1420000	-1880053.875
1425000	-1880781
1430000	-1880637.375
1435000	-1880585.5
1440000	-1880359.75
1445000	-1880493.75
1450000	-1880881
1455000	-1880638
1460000	-1881052.625
1465000	-1880703.125
1470000	-1880457.125
1475000	-1880553.25
1480000	-1880438
1485000	-1880694.25
1490000	-1880761
1495000	-1880052.875
1500000	-1879979.25
1505000	-1880787.375
1510000	-1880761.5
1515000	-1880263.75
1520000	-1881020.25
1525000	-1880586
1530000	-1879434.75
1535000	-1879937.75
1540000	-1884406
1545000	-1884814.5
1550000	-1885395.875
1555000	-1894674.25
1560000	-1898603.5
1565000	-1898944.375
1570000	-1899165.5
1575000	-1899644.75
1580000	-1899097.25
1585000	-1899056.25
1590000	-1898750.375
1595000	-1899235.125
1600000	-1901134.75
1605000	-1901045.125
1610000	-1901696.5
1615000	-1900350
1620000	-1900334.625
1625000	-1901817.75
1630000	-1901211.125
1635000	-1901195.5
1640000	-1901242.625
1645000	-1900938.625
1650000	-1901332
1655000	-1901612.5
1660000	-1900879
1665000	-1902683.125
1670000	-1903416.375
1675000	-1903464.25
1680000	-1903235
1685000	-1903581.25
1690000	-1903723
1695000	-1903810.375
1700000	-1903333.25
1705000	-1903544.625
1710000	-1903612.5
1715000	-1904562.75
1720000	-1903109.5
1725000	-1903922
1730000	-1904494.75
1735000	-1903630.375
1740000	-1903817.75
1745000	-1903640
1750000	-1903610.375
1755000	-1904390.25
1760000	-1903968.375
1765000	-1907313.75
1770000	-1908863.5
1775000	-1909435.75
1780000	-1909562.625
1785000	-1909418
1790000	-1909517.5
1795000	-1908785.75
1800000	-1909377.5
1805000	-1909416
1810000	-1909201
1815000	-1909595.5
1820000	-1908708
1825000	-1909103.25
1830000	-1909484
1835000	-1912870.25
1840000	-1914908.5
1845000	-1915441.375
1850000	-1916158.75
1855000	-1914755.5
1860000	-1915385.5
1865000	-1914910.25
1870000	-1915058.125
1875000	-1914928.5
1880000	-1915220.75
1885000	-1914883.5
1890000	-1915098.25
1895000	-1914808.625
1900000	-1916253
1905000	-1916369.25
1910000	-1914573
1915000	-1915397.25
1920000	-1915846.5
1925000	-1915523.75
1930000	-1915243.375
1935000	-1916072.25
1940000	-1915091.5
1945000	-1915858.125
1950000	-1915700.75
1955000	-1915171.75
1960000	-1915971.625
1965000	-1915095
1970000	-1918910
1975000	-1919855.5
1980000	-1920443
1985000	-1920121.5
1990000	-1918666.5
1995000	-1919917.75
2000000	-1920539.75
2005000	-1921333
2010000	-1922266.25
2015000	-1922831
2020000	-1923678.75
2025000	-1922839.5
2030000	-1923135.25
2035000	-1923539
2040000	-1923464
2045000	-1923419.125
2050000	-1922842.25
2055000	-1922688.25
2060000	-1923077.375
2065000	-1923180.75
2070000	-1923115.375
2075000	-1922922.25
2080000	-1923411.25
2085000	-1923047.75
2090000	-1930717.875
2095000	-1933030.5
2100000	-1932872.75
2105000	-1932999.75
2110000	-1933568.25
2115000	-1933670
2120000	-1934003.5
2125000	-1933706.125
2130000	-1933694.75
2135000	-1933967.625
2140000	-1933401.75
2145000	-1934121.625
2150000	-1933973.75
2155000	-1933061.375
2160000	-1933627.75
2165000	-1933645.375
2170000	-1932992
2175000	-1935447.75
2180000	-1937793.375
2185000	-1941026.25
2190000	-1944100.25
2195000	-1945314.5
2200000	-1944649
2205000	-1943839.25
2210000	-1944336
2215000	-1944818.875
2220000	-1944907.75
2225000	-1944202.125
2230000	-1944087.75
2235000	-1944924
2240000	-1944111.625
2245000	-1944099.25
2250000	-1944767.625
2255000	-1944651.75
2260000	-1944305.25
2265000	-1944560.875
2270000	-1944195.375
2275000	-1945510.25
2280000	-1944960.25
2285000	-1944083.375
2290000	-1945168.5
2295000	-1944287.75
2300000	-1944069.125
2305000	-1944556.375
2310000	-1944216.25
2315000	-1944862.875
2320000	-1944271.875
2325000	-1944691.75
2330000	-1945112.5
2335000	-1944608.625
2340000	-1944907
2345000	-1945442
2350000	-1945146.875
2355000	-1944732.75
2360000	-1945465.25
2365000	-1945081
2370000	-1945268
2375000	-1944743.5
2380000	-1944845.75
2385000	-1944404.5
2390000	-1945118.75
2395000	-1944343.5
2400000	-1944477.25
2405000	-1944433.625
2410000	-1944791
2415000	-1944708.75
2420000	-1944860.75
2425000	-1945358.25
2430000	-1944773.5
2435000	-1944571.875
2440000	-1945342
2445000	-1944902.625
2450000	-1944672
2455000	-1943900
2460000	-1945201.125
2465000	-1945372.125
2470000	-1944368.375
2475000	-1944857.5
2480000	-1945643.5
2485000	-1945761.625
2490000	-1945257.75
2495000	-1945876.75
2500000	-1944912.5
2505000	-1945067.75
2510000	-1944438
2515000	-1944110.5
2520000	-1944429.75
2525000	-1944049
2530000	-1945792.25
2535000	-1944539.5
2540000	-1945296
2545000	-1944713.125
2550000	-1948185.25
2555000	-1952563.25
2560000	-1953624.25
2565000	-1954832.5
2570000	-1955396
2575000	-1956195.5
2580000	-1955068
2585000	-1955018.25
2590000	-1955607.875
2595000	-1955812.5
2600000	-1956228.75
2605000	-1955528
2610000	-1955787.25
2615000	-1956140.5
2620000	-1954805.25
2625000	-1955619.25
2630000	-1955691.75
2635000	-1955781.625
2640000	-1955554.75
2645000	-1955722
2650000	-1954829.75
2655000	-1955881.5
2660000	-1955717.875
2665000	-1955008.75
2670000	-1955551.5
2675000	-1956136.75
2680000	-1955491.75
2685000	-1955046.5
2690000	-1955446.75
2695000	-1955779.125
